SUPER_16/2595000-2615000	SUPER_16	91.270	504	42	2	4972	5474	3046083	3046585	0.0	686
SUPER_16/2595000-2615000	SUPER_16	87.162	444	54	3	3794	4237	3043979	3044419	5.58e-139	501
SUPER_16/2595000-2615000	SUPER_16	92.966	327	23	0	4530	4856	3045076	3045402	9.40e-132	477
SUPER_16/2595000-2615000	SUPER_16	78.022	455	77	14	5749	6196	2776631	2776193	7.97e-68	265
SUPER_16/2595000-2615000	SUPER_16	77.344	384	72	11	5828	6208	9687820	9688191	2.93e-52	213
SUPER_16/2595000-2615000	SUPER_16	81.439	264	36	10	16608	16859	2683633	2683895	1.76e-49	204
SUPER_16/2595000-2615000	SUPER_16	89.032	155	17	0	5537	5691	3047422	3047576	3.81e-46	193
SUPER_16/2595000-2615000	SUPER_16	81.301	246	36	9	5800	6041	2170502	2170263	1.37e-45	191
SUPER_16/2595000-2615000	SUPER_16	81.301	246	36	9	5800	6041	2180394	2180155	1.37e-45	191
SUPER_16/2595000-2615000	SUPER_16	81.405	242	32	9	16629	16860	8978541	8978303	6.38e-44	185
SUPER_16/2595000-2615000	SUPER_5	81.781	494	63	21	5800	6290	975905	975436	4.53e-105	388
SUPER_16/2595000-2615000	SUPER_5	78.383	532	76	22	16494	16994	7289477	7290000	3.63e-81	309
SUPER_16/2595000-2615000	SUPER_5	78.316	475	78	11	16543	16996	5994533	5995003	2.20e-73	283
SUPER_16/2595000-2615000	SUPER_5	80.328	366	54	12	16608	16962	5933034	5933392	1.03e-66	261
SUPER_16/2595000-2615000	SUPER_5	79.202	351	58	10	16633	16969	5943028	5943377	2.91e-57	230
SUPER_16/2595000-2615000	SUPER_5	76.786	448	72	25	15354	15793	6462518	6462941	4.86e-55	222
SUPER_16/2595000-2615000	SUPER_5	77.340	406	66	14	16572	16963	1568919	1568526	2.26e-53	217
SUPER_16/2595000-2615000	SUPER_5	79.495	317	54	10	15389	15698	7317989	7318301	8.14e-53	215
SUPER_16/2595000-2615000	SUPER_5	78.426	343	44	20	5834	6164	7191485	7191161	2.95e-47	196
SUPER_16/2595000-2615000	SUPER_5	81.893	243	31	7	16606	16836	5719527	5719768	3.81e-46	193
SUPER_16/2595000-2615000	SUPER_5	77.713	341	45	14	16644	16974	1491042	1491361	2.97e-42	180
SUPER_16/2595000-2615000	SUPER_5	79.216	255	36	10	16694	16938	7283845	7283598	1.08e-36	161
SUPER_16/2595000-2615000	SUPER_5	83.871	155	14	7	5799	5951	6408662	6408807	1.81e-29	137
SUPER_16/2595000-2615000	SUPER_10	81.312	503	71	15	5793	6290	2814293	2813809	1.63e-104	387
SUPER_16/2595000-2615000	SUPER_10	81.065	507	74	16	5793	6290	2858829	2858336	5.86e-104	385
SUPER_16/2595000-2615000	SUPER_10	80.671	507	75	15	5793	6290	2890293	2889801	4.56e-100	372
SUPER_16/2595000-2615000	SUPER_10	80.198	505	63	25	5799	6296	8201685	8201211	9.95e-92	344
SUPER_16/2595000-2615000	SUPER_10	81.915	376	53	8	16609	16973	8924779	8925150	1.69e-79	303
SUPER_16/2595000-2615000	SUPER_10	83.706	313	33	12	5801	6107	2809364	2809064	2.85e-72	279
SUPER_16/2595000-2615000	SUPER_10	83.713	307	28	11	5799	6097	8926908	8926616	1.71e-69	270
SUPER_16/2595000-2615000	SUPER_10	78.174	449	76	17	5800	6248	8319314	8319740	2.22e-68	267
SUPER_16/2595000-2615000	SUPER_10	80.501	359	58	10	16645	17003	10135105	10134759	7.97e-68	265
SUPER_16/2595000-2615000	SUPER_10	79.076	368	44	16	16521	16860	2458255	2458617	4.86e-55	222
SUPER_16/2595000-2615000	SUPER_10	79.503	322	45	13	15456	15769	10587062	10587370	3.79e-51	209
SUPER_16/2595000-2615000	SUPER_10	79.811	317	37	17	16630	16935	9469767	9469467	4.90e-50	206
SUPER_16/2595000-2615000	SUPER_10	78.767	292	42	13	16633	16909	9762891	9762605	1.07e-41	178
SUPER_16/2595000-2615000	SUPER_10	83.582	134	13	4	16680	16812	2487182	2487307	2.36e-23	117
SUPER_16/2595000-2615000	SUPER_18	81.800	489	61	16	5802	6287	1633905	1633442	5.86e-104	385
SUPER_16/2595000-2615000	SUPER_18	79.109	359	52	14	16611	16951	7047921	7048274	3.76e-56	226
SUPER_16/2595000-2615000	SUPER_18	76.585	410	70	19	16606	16994	2884981	2884577	6.34e-49	202
SUPER_16/2595000-2615000	SUPER_18	78.758	306	42	14	16626	16923	1284320	1284610	2.29e-43	183
SUPER_16/2595000-2615000	SUPER_18	74.844	481	83	22	16495	16952	4018485	4018950	2.29e-43	183
SUPER_16/2595000-2615000	SUPER_11	82.393	443	52	15	5775	6205	5248207	5247779	2.75e-97	363
