NP_001105870.1	SUPER_1	34.805	385	195	6	486	817	63379512	63380657	1.72e-53	211	1188	87855624	57
NP_001105870.1	SUPER_1	46.448	183	83	2	847	1014	63383771	63384319	3.15e-33	144	1188	87855624	57
NP_001105870.1	SUPER_1	39.487	195	102	4	486	670	63267993	63268559	7.94e-22	107	1188	87855624	57
NP_001105870.1	SUPER_1	52.688	93	42	2	1009	1099	63384912	63385190	3.36e-19	99.0	1188	87855624	57
NP_001105870.1	SUPER_1	40.361	166	87	3	514	670	63311654	63312142	1.46e-18	96.7	1188	87855624	57
NP_001105870.1	SUPER_1	43.434	99	41	2	1098	1188	63385414	63385689	1.96e-13	79.7	1188	87855624	57
NP_001105870.1	SUPER_10	33.777	376	196	5	497	819	2879526	2878399	1.40e-51	204	1188	45589307	56
NP_001105870.1	SUPER_10	42.857	189	93	3	841	1014	2876661	2876095	1.39e-29	132	1188	45589307	56
NP_001105870.1	SUPER_10	52.688	93	42	2	1009	1099	2875439	2875161	2.49e-17	92.8	1188	45589307	56
NP_001105870.1	SUPER_10	48.913	92	46	1	1098	1188	2874897	2874622	4.16e-17	92.0	1188	45589307	56
NP_001105870.1	SUPER_2	42.623	183	90	2	847	1014	48901301	48901849	5.09e-30	134	1188	76179657	27
NP_001105870.1	SUPER_2	63.235	68	24	1	1009	1075	48902477	48902680	8.58e-17	90.9	1188	76179657	27
NP_001105870.1	SUPER_2	40.404	99	44	2	1098	1188	48902982	48903257	3.67e-11	72.4	1188	76179657	27
NP_001105870.1	SUPER_3	40.217	92	54	1	1098	1188	3954928	3955203	2.40e-10	69.7	1188	66235242	14
NP_001105870.1	SUPER_3	50.000	38	18	1	1009	1045	3954436	3954549	5.09e-07	42.7	1188	66235242	14
NP_001105870.1	SUPER_3	42.500	40	22	1	1061	1099	3954545	3954664	5.09e-07	35.4	1188	66235242	14
sp|Q8LKW0.2|TERT_ORYSJ	SUPER_10	31.920	401	216	6	568	915	2879526	2878336	7.05e-51	202	1259	45589307	55
